Scholarship Name,Category,Gender,Income,Details,Eligibility,Link
Mukhyamantri Yuva Swavalamban Yojana,General,Male,Below 50000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Male,50000_100000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Male,100000_200000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Male,200000_300000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Male,300000_400000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Male,400000_500000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Male,500000_600000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Female,Below 50000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Female,50000_100000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Female,100000_200000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Female,200000_300000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Female,300000_400000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Female,400000_500000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Female,500000_600000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Other,Below 50000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Other,50000_100000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Other,100000_200000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Other,200000_300000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
Mukhyamantri Yuva Swavalamban Yojana,General,Other,300000_400000,"The MYSY scholarship is a financial assistance program for economically disadvantaged students in Gujarat. The scholarship offers grants for tuition, hostel, and books or instrumentation.","Domicile: Gujarat resident; Academic: 80% in Class 10 & 12; Income: Less than ₹6,00,000; Course: Diploma, Engineering, Pharmacy, MBBS, BDS, UG courses; D2D: 65% in Diploma.",https://mysy.guj.nic.in/
